recipe_slug	bias	alfredo	almond	american	appetizer	appetizers	apple	asiancuisine	asparagus	avocado	bacon	baked	bakeddishes	bakery	baking	beans	beef	bellpeppers	berries	blackbeans	blackvinegar	blueberry	boiledeggs	bokchoy	braided	bread	breaded	breakfast	breakfastpastry	brioche	broiling	brownies	brownsugar	brunch	burger	burritos	buttery	cake	carrots	casserole	celebration	cheese	cheesy	cherry	chicken	chickpeas	chilioil	chilipowder	chinese	chinesecookingwine	chinesecuisine	chocolate	chocolatechip	chocolatecroissant	christmas	cilantro	cinnamon	citrus	classic	cloves	cobbler	cocoapowder	coffee	cold	coldnoodles	comfortfood	condiment	cookies	corn	cranberry	creamcheese	creamy	crisp	crispy	croissant	croissants	crumble	crust	cucumber	cumin	cupcakes	custard	custardy	customizable	danish	dashibroth	dates	decadent	dessert	dinner	dip	donuts	easterneuropean	easy	easydinner	egg	eggs	eggwhites	fajitaseasoning	fall	familyfriendly	fastfood	fetacheese	filling	fingerfood	flaky	french	frenchcuisine	frenchpastry	fresh	fried	friedfood	friedrice	fries	frosting	fruit	fudgy	gamedayfood	ganache	garlic	ginger	glutenfree	goldenbrown	greenbeans	greenonion	greenonions	grill	grilled	grilling	groundbeef	gruyere	gruyerecheese	guacamole	hamandcheese	hamburger	handheld	handtorndough	hawaii	hawaiian	healthy	herbs	holiday	homemade	indulgent	italian	italiancuisine	jalapenos	japanesecuisine	juicy	ketchup	keto	kidfriendly	koreancuisine	laminateddough	lasagna	lattice	lettuce	lime	loadednachos	lowcarb	lunch	macandcheese	maple	maplesyrup	masa	mayonnaise	meal	mealprep	meat	meatsauce	mexican	mexicancuisine	mexicanfood	middleeastern	miso	muffins	mushroom	mushrooms	nachos	noodles	noodlesoup	nori	numbing	nutmeg	oat	oats	onion	onions	onthego	oven	oysters	pacificislands	pancakes	parmesan	partyfood	pasta	pastasauce	pastry	pastrycrust	peach	peanutbutter	peanutdressing	peanuts	peppers	pickledvegetables	pie	piecrust	pork	porkbelly	potatoes	protein	puffpastry	quiche	quick	ramen	refreshing	relish	rhubarb	rice	ricevinegar	rich	ricotta	salad	salsa	salty	sandwich	sauce	savory	scallions	scallops	seafood	sesame	sesameoil	sesameseeds	shrimp	sichuancuisine	sichuanpeppercorns	sidedish	sidedishes	skewers	smoky	snack	snacks	sobanoodles	soft	souffle	soup	sourcream	southern	southerncuisine	soysauce	spam	spices	spicy	spicyfood	spinach	spring	steamed	stirfry	strawberry	streetfood	stuffedpeppers	summer	sushi	sweet	sweetandsalty	sweetandsavory	sweettreat	taco	tacos	tangy	tart	tea	tempura	tender	texmex	thanksgiving	toast	tomato	tomatoes	tomatosauce	tortilla	tortillabowl	tortillachips	tortillas	traditional	twisted	udonnoodles	vanilla	vanillaicecream	vegan	vegetables	vegetarian	warm	whippedcream	winter	yeastdough
fajitas	1																																																																																																																																																																																																																																																																																																								
loaded-nachos	1																																																																																																																																																																																																																																																																																																								
lasagna	1																																																																																																																																																																																																																																																																																																								
chicken-nuggets	1																																																																																																																																																																																																																																																																																																								
pain-au-chocolat	1																																																																																																																																																																																																																																																																																																								
nacho-dip	1																																																																																																																																																																																																																																																																																																								
nacho-salad	1																																																																																																																																																																																																																																																																																																								
nacho-casserole	1																																																																																																																																																																																																																																																																																																								
nacho-fries	1																																																																																																																																																																																																																																																																																																								
tempura-udon	1																																																																																																																																																																																																																																																																																																								
peach-crisp	1																																																																																																																																																																																																																																																																																																								
apple-pie	1																																																																																																																																																																																																																																																																																																								
blueberry-crisp	1																																																																																																																																																																																																																																																																																																								
berry-crumble	1																																																																																																																																																																																																																																																																																																								
strawberry-rhubarb-crisp	1																																																																																																																																																																																																																																																																																																								
peach-cobbler	1																																																																																																																																																																																																																																																																																																								
cranberry-sauce	1																																																																																																																																																																																																																																																																																																								
cherry-cobbler	1																																																																																																																																																																																																																																																																																																								
apple-crumble	1																																																																																																																																																																																																																																																																																																								
chocolate-croissants	1																																																																																																																																																																																																																																																																																																								
french-toast	1																																																																																																																																																																																																																																																																																																								
chocolate-babka	1																																																																																																																																																																																																																																																																																																								
cinnamon-babka	1																																																																																																																																																																																																																																																																																																								
blueberry-crumble	1																																																																																																																																																																																																																																																																																																								
spam-musubi	1																																																																																																																																																																																																																																																																																																								
taco-salad	1																																																																																																																																																																																																																																																																																																								
chiles-rellenos	1																																																																																																																																																																																																																																																																																																								
almond-croissants	1																																																																																																																																																																																																																																																																																																								
cranberry-relish	1																																																																																																																																																																																																																																																																																																								
ma-la-beef	1																																																																																																																																																																																																																																																																																																								
chocolate-cake	1																																																																																																																																																																																																																																																																																																								
spinach-quiche	1																																																																																																																																																																																																																																																																																																								
mushroom-quiche	1																																																																																																																																																																																																																																																																																																								
quiche-lorraine	1																																																																																																																																																																																																																																																																																																								
croissant-aux-amandes	1																																																																																																																																																																																																																																																																																																								
danishes	1																																																																																																																																																																																																																																																																																																								
spinach-and-feta-quiche	1																																																																																																																																																																																																																																																																																																								
cold-sesame-noodles	1																																																																																																																																																																																																																																																																																																								
soba-noodle-salad-with-peanut-dressing	1																																																																																																																																																																																																																																																																																																								
dan-dan-noodles	1																																																																																																																																																																																																																																																																																																								
vanilla-souffle	1																																																																																																																																																																																																																																																																																																								
bacon-wrapped-dates	1																																																																																																																																																																																																																																																																																																								
cherry-pie	1																																																																																																																																																																																																																																																																																																								
berry-crisp	1																																																																																																																																																																																																																																																																																																								
bacon-and-egg-breakfast-sandwich	1																																																																																																																																																																																																																																																																																																								
bacon-wrapped-shrimp-skewers	1																																																																																																																																																																																																																																																																																																								
bacon-wrapped-chicken	1																																																																																																																																																																																																																																																																																																								
bacon-wrapped-asparagus	1																																																																																																																																																																																																																																																																																																								
bacon-mac-and-cheese	1																																																																																																																																																																																																																																																																																																								
chicken-alfredo-lasagna	1																																																																																																																																																																																																																																																																																																								
classic-beef-lasagna	1																																																																																																																																																																																																																																																																																																								
vegetarian-mushroom-lasagna	1																																																																																																																																																																																																																																																																																																								
spinach-and-ricotta-lasagna	1																																																																																																																																																																																																																																																																																																								
